------------ Data Table File Created By Actigraph Link ActiLife v6.11.9 date format dd/MM/yyyy Filter Normal -----------,,,,,
Serial Number: TAS1D48140206,,,,,
Start Time 15:00:00,,,,,
Start Date 09-12-2017,,,,,
Epoch Period (hh:mm:ss) 00:00:01,,,,,
Download Time 15:29:44,,,,,
Download Date 09-19-2017,,,,,
Current Memory Address: 0,,,,,
Current Battery Voltage: 3.85     Mode = 13,,,,,
--------------------------------------------------,,,,,
TimeStamp,axis1,axis2,axis3,steps,vm
2017-09-12T16:13:32Z,0,0,0,0,0
2017-09-12T16:13:33Z,0,0,0,0,0
2017-09-12T16:13:34Z,0,0,0,0,0
2017-09-12T16:13:35Z,0,0,0,0,0
2017-09-12T16:13:36Z,0,0,0,0,0
2017-09-12T16:13:37Z,0,0,0,0,0
2017-09-12T16:13:38Z,0,0,0,0,0
2017-09-12T16:13:39Z,0,0,0,0,0
2017-09-12T16:13:40Z,0,0,0,0,0
2017-09-12T16:13:41Z,0,0,0,0,0
2017-09-12T16:13:42Z,0,0,0,0,0
2017-09-12T16:13:43Z,0,0,0,0,0
2017-09-12T16:13:44Z,0,0,0,0,0
2017-09-12T16:13:45Z,57,99,105,0,156
2017-09-12T16:13:46Z,19,22,43,1,52
2017-09-12T16:13:47Z,15,5,36,0,40
2017-09-12T16:13:48Z,88,60,160,1,193
2017-09-12T16:13:49Z,89,25,80,0,123
2017-09-12T16:13:50Z,12,13,32,1,37
2017-09-12T16:13:51Z,0,0,0,0,0
2017-09-12T16:13:52Z,0,0,0,0,0
2017-09-12T16:13:53Z,0,0,0,0,0
2017-09-12T16:13:54Z,0,0,0,0,0
2017-09-12T16:13:55Z,0,0,0,0,0
2017-09-12T16:13:56Z,0,0,0,0,0
2017-09-12T16:13:57Z,0,0,0,0,0
2017-09-12T16:13:58Z,0,0,0,0,0
2017-09-12T16:13:59Z,0,0,0,0,0
2017-09-12T16:14:00Z,0,0,0,0,0
2017-09-12T16:14:01Z,0,0,0,0,0
2017-09-12T16:14:02Z,0,0,0,0,0
2017-09-12T16:14:03Z,0,0,0,0,0
2017-09-12T16:14:04Z,0,0,0,0,0
2017-09-12T16:14:05Z,0,0,0,0,0
2017-09-12T16:14:06Z,0,0,0,0,0
2017-09-12T16:14:07Z,0,0,0,0,0
2017-09-12T16:14:08Z,0,0,0,0,0
2017-09-12T16:14:09Z,0,0,0,0,0
2017-09-12T16:14:10Z,0,0,0,0,0
2017-09-12T16:14:11Z,0,0,0,0,0
2017-09-12T16:14:12Z,0,0,0,0,0
2017-09-12T16:14:13Z,0,0,0,0,0
2017-09-12T16:14:14Z,0,0,0,0,0
2017-09-12T16:14:15Z,0,0,0,0,0
2017-09-12T16:14:16Z,0,0,0,0,0
2017-09-12T16:14:17Z,0,0,0,0,0
2017-09-12T16:14:18Z,0,0,0,0,0
2017-09-12T16:14:19Z,0,0,0,0,0
2017-09-12T16:14:20Z,0,0,0,0,0
2017-09-12T16:14:21Z,0,0,0,0,0
2017-09-12T16:14:22Z,0,0,0,0,0
2017-09-12T16:14:23Z,0,0,0,0,0
2017-09-12T16:14:24Z,0,0,0,0,0
2017-09-12T16:14:25Z,0,0,0,0,0
2017-09-12T16:14:26Z,0,0,0,0,0
2017-09-12T16:14:27Z,0,0,0,0,0
2017-09-12T16:14:28Z,0,0,0,0,0
2017-09-12T16:14:29Z,0,0,0,0,0
2017-09-12T16:14:30Z,0,0,0,0,0
2017-09-12T16:14:31Z,0,0,0,0,0
2017-09-12T16:14:32Z,0,0,0,0,0
2017-09-12T16:14:33Z,0,0,0,0,0
2017-09-12T16:14:34Z,0,0,0,0,0
2017-09-12T16:14:35Z,0,0,0,0,0
2017-09-12T16:14:36Z,0,0,0,0,0
2017-09-12T16:14:37Z,0,0,0,0,0
2017-09-12T16:14:38Z,0,0,0,0,0
2017-09-12T16:14:39Z,0,0,0,0,0
2017-09-12T16:14:40Z,0,0,0,0,0
2017-09-12T16:14:41Z,0,0,0,0,0
2017-09-12T16:14:42Z,0,0,0,0,0
2017-09-12T16:14:43Z,0,0,0,0,0
2017-09-12T16:14:44Z,0,0,0,0,0
2017-09-12T16:14:45Z,0,0,0,0,0
2017-09-12T16:14:46Z,0,0,0,0,0
2017-09-12T16:14:47Z,0,0,0,0,0
2017-09-12T16:14:48Z,0,0,0,0,0
2017-09-12T16:14:49Z,67,6,0,0,68
2017-09-12T16:14:50Z,44,56,0,0,72
2017-09-12T16:14:51Z,42,16,0,1,45
2017-09-12T16:14:52Z,83,35,132,1,160
2017-09-12T16:14:53Z,156,43,176,0,240
2017-09-12T16:14:54Z,24,25,65,1,74
2017-09-12T16:14:55Z,0,1,81,0,82
2017-09-12T16:14:56Z,23,15,159,1,162
2017-09-12T16:14:57Z,7,43,193,0,198
2017-09-12T16:14:58Z,3,17,138,1,140
2017-09-12T16:14:59Z,32,3,80,0,87
2017-09-12T16:15:00Z,24,13,42,1,51
2017-09-12T16:15:01Z,115,149,225,1,294
2017-09-12T16:15:02Z,68,125,137,0,198
2017-09-12T16:15:03Z,22,19,116,0,120
2017-09-12T16:15:04Z,7,0,81,1,82
2017-09-12T16:15:05Z,0,0,6,0,6
2017-09-12T16:15:06Z,4,6,27,0,28
2017-09-12T16:15:07Z,35,21,139,2,145
2017-09-12T16:15:08Z,86,77,98,0,152
2017-09-12T16:15:09Z,113,108,178,1,237
2017-09-12T16:15:10Z,39,6,23,0,46
2017-09-12T16:15:11Z,12,8,11,0,19
2017-09-12T16:15:12Z,0,0,0,0,0
2017-09-12T16:15:13Z,0,0,0,0,0
2017-09-12T16:15:14Z,8,0,0,0,8
2017-09-12T16:15:15Z,9,0,0,0,9
2017-09-12T16:15:16Z,28,2,1,1,29
2017-09-12T16:15:17Z,84,48,115,1,151
2017-09-12T16:15:18Z,103,61,119,0,169
2017-09-12T16:15:19Z,141,7,36,1,146
2017-09-12T16:15:20Z,46,22,79,1,95
2017-09-12T16:15:21Z,20,0,33,1,39
2017-09-12T16:15:22Z,53,0,71,0,89
2017-09-12T16:15:23Z,6,0,0,0,6
2017-09-12T16:15:24Z,0,0,0,0,0
2017-09-12T16:15:25Z,0,0,0,0,0
2017-09-12T16:15:26Z,0,0,0,0,0
2017-09-12T16:15:27Z,0,0,0,0,0
2017-09-12T16:15:28Z,0,0,0,0,0
2017-09-12T16:15:29Z,0,0,0,0,0
2017-09-12T16:15:30Z,0,0,0,0,0
2017-09-12T16:15:31Z,0,0,0,0,0
2017-09-12T16:15:32Z,0,0,0,0,0
2017-09-12T16:15:33Z,0,0,0,0,0
2017-09-12T16:15:34Z,0,0,0,0,0
2017-09-12T16:15:35Z,0,0,0,0,0
2017-09-12T16:15:36Z,0,0,0,0,0
2017-09-12T16:15:37Z,0,0,0,0,0
2017-09-12T16:15:38Z,0,0,0,0,0
2017-09-12T16:15:39Z,0,0,0,0,0
2017-09-12T16:15:40Z,0,0,0,0,0
2017-09-12T16:15:41Z,0,0,0,0,0
2017-09-12T16:15:42Z,0,0,0,0,0
2017-09-12T16:15:43Z,4,0,29,1,30
2017-09-12T16:15:44Z,10,0,1,0,11
2017-09-12T16:15:45Z,0,0,0,0,0
2017-09-12T16:15:46Z,0,0,0,0,0
2017-09-12T16:15:47Z,0,0,0,0,0
2017-09-12T16:15:48Z,0,0,0,0,0
2017-09-12T16:15:49Z,0,0,0,0,0
2017-09-12T16:15:50Z,0,0,0,0,0
2017-09-12T16:15:51Z,0,0,0,0,0
2017-09-12T16:15:52Z,0,0,0,0,0
2017-09-12T16:15:53Z,0,0,0,0,0
2017-09-12T16:15:54Z,0,0,0,0,0
2017-09-12T16:15:55Z,0,0,0,0,0
2017-09-12T16:15:56Z,0,0,0,0,0
2017-09-12T16:15:57Z,0,0,0,0,0
2017-09-12T16:15:58Z,0,0,0,0,0
2017-09-12T16:15:59Z,0,0,0,0,0
2017-09-12T16:16:00Z,0,0,0,0,0
2017-09-12T16:16:01Z,0,0,0,0,0
2017-09-12T16:16:02Z,0,0,0,0,0
2017-09-12T16:16:03Z,0,0,0,0,0
2017-09-12T16:16:04Z,0,0,0,0,0
2017-09-12T16:16:05Z,0,0,0,0,0
2017-09-12T16:16:06Z,0,0,0,0,0
2017-09-12T16:16:07Z,0,0,0,0,0
2017-09-12T16:16:08Z,0,0,0,0,0
